Model,MAE,RMSE,R²,Adjusted R²
CatBoost,0.5260654149394989,0.8262526310950847,0.9989289356503874,0.9989273786366956
Extra Trees,0.46393553722408554,1.0230253632431694,0.9983580396890992,0.9983556527599792
Random Forest,0.6234499639071027,1.3343444037828123,0.9972066475874877,0.9972025868716642
LightGBM,0.9111013364917315,1.4875109746088235,0.9965285556282635,0.9965235091654443
XGBoost,1.0090852567598414,1.5751804053113831,0.9961073043073031,0.9961016454685098
Decision Tree,1.3014789453926623,2.5480966091957638,0.9898135787276017,0.9897987706561746
Gradient Boosting,1.908096872952365,3.1035043768008435,0.9848889522630674,0.9848669852279092
Ridge,4.622951247601468,6.399342026460208,0.9357518690138663,0.9356584710591519
Linear Regression,4.622831855172423,6.400124528908961,0.9357361557129198,0.9356427349156705
Lasso,6.4069096252836015,8.930906650832199,0.8748643790213677,0.8746824684991169
ElasticNet,7.643735923444497,11.019019732541105,0.809508424066215,0.8092315051378437
