Feature,Importance,Standard Deviation
Eta_Difference,14.223749353188074,0.053889720561995764
Total_PT,13.282223190844851,0.03533221033842165
Cos_Theta,10.443369042625614,0.06379664274271826
Total_Energy,10.07297863883542,0.05536548810759688
E1,4.558052731620793,0.03211061389129295
pt1,3.4035292099114423,0.0424980678101155
pt2,3.3556079091275364,0.024931054702804507
Momentum2,3.355403078823875,0.031598642188962356
Phi_Difference,3.3257969214293146,0.03794315934448794
Momentum1,2.433246372261467,0.015145589500504458
E2,2.3375640837478153,0.025041119857569592
PT_Difference,2.040622576719371,0.018959907038014628
Total_Momentum,1.5774619347803625,0.009888495490126473
Momentum_Difference,0.1563036223246215,0.0043816228907206595
Energy_Difference,0.04262555059328853,0.002405213672106422
eta1,0.003307639614523394,0.0006802719874192595
pz2,0.0028352984954617467,0.00036445788334480604
pz1,0.0027647779756975075,0.0006116473228732765
px2,0.0020870259567655645,0.0003711423245676277
eta2,0.0015462736496261397,0.000999664698514822
px1,0.0011194524424837037,0.0006449955978697239
phi2,0.0008361044604636381,0.00046748841064446207
py2,0.0007124758243589491,0.000251624689011759
phi1,0.00046593823521612343,0.00026695456050580265
Q2,0.0,0.0
Q1,0.0,0.0
Charge_Difference,0.0,0.0
py1,-7.240297551839304e-05,0.0007398160475055339
Charge_Product,-0.00046657222302765033,0.00024839599209874815
